	d	777	liam:liam	4096	1784121920.0475842000
.obsidian	d	777	liam:liam	4096	1783970284.5307277000
.obsidian/app.json	f	777	liam:liam	2	1784121921.0953974000
.obsidian/appearance.json	f	777	liam:liam	2	1784121921.0973934000
.obsidian/core-plugins.json	f	777	liam:liam	696	1784121920.9339076000
.obsidian/graph.json	f	777	liam:liam	524	1784122136.0890000000
.obsidian/workspace.json	f	777	liam:liam	4856	1784122134.9980838000
README.md	f	777	liam:liam	2752	1784121663.6051092000
decisions	d	777	liam:liam	4096	1783284919.5011942000
decisions/DECISIONS.md	f	777	liam:liam	823	1784121663.6275402000
inbox	d	777	liam:liam	4096	1783284922.8530752000
inbox/README.md	f	777	liam:liam	732	1784121663.6473650000
inbox/distilled_packets	d	777	liam:liam	4096	1783284923.5513156000
inbox/distilled_packets/.gitkeep	f	777	liam:liam	1	1783284923.5513156000
inbox/source_notes	d	777	liam:liam	4096	1783284923.2386113000
inbox/source_notes/.gitkeep	f	777	liam:liam	1	1783284923.2396063000
index	d	777	liam:liam	4096	1784141088.8999915000
index/MEMORY_INDEX.md	f	777	liam:liam	4287	1784141088.8889922000
memory	d	777	liam:liam	4096	1783297445.7468008000
memory/agentic_os.md	f	777	liam:liam	955	1784121663.6804352000
memory/clients.md	f	777	liam:liam	1214	1784121663.6860581000
memory/company.md	f	777	liam:liam	751	1784121663.7091870000
memory/delivery_model.md	f	777	liam:liam	1226	1784121663.7174744000
memory/ideal_clients.md	f	777	liam:liam	979	1784121823.2007894000
memory/marketing_voice.md	f	777	liam:liam	1391	1784121663.7615296000
memory/north_shore_sales_coach.md	f	777	liam:liam	1229	1784121663.7879685000
memory/offers.md	f	777	liam:liam	1519	1784121663.8129573000
memory/positioning.md	f	777	liam:liam	865	1784121823.2090543000
memory/sales_and_revenue.md	f	777	liam:liam	1841	1784121663.8490559000
memory/website_and_content.md	f	777	liam:liam	1408	1784121663.8590294000
operating_context	d	777	liam:liam	4096	1783284921.5470981000
operating_context/active_projects.md	f	777	liam:liam	1111	1784121663.8920157000
operating_context/current_priorities.md	f	777	liam:liam	848	1784121663.9208878000
operating_context/obsidian_registry_backups	d	777	liam:liam	4096	1782449239.5195279000
operating_context/obsidian_registry_backups/20260625-214638	d	777	liam:liam	4096	1782449198.1762516000
operating_context/obsidian_registry_backups/20260625-214638/C__Users_Admin_AppData_Roaming_obsidian_obsidian.json.bak	f	777	liam:liam	197	1782439244.6403444000
operating_context/obsidian_registry_backups/20260625-214653	d	777	liam:liam	4096	1782449213.3591626000
operating_context/obsidian_registry_backups/20260625-214653/C__Users_Admin_AppData_Roaming_obsidian_obsidian.json.bak	f	777	liam:liam	15	1782449198.3233784000
operating_context/obsidian_registry_backups/20260625-214719	d	777	liam:liam	4096	1782449239.5648479000
operating_context/obsidian_registry_backups/20260625-214719/C__Users_Admin_AppData_Roaming_obsidian_obsidian.json.bak	f	777	liam:liam	15	1782449213.4465288000
operating_context/old_vault_archive_plan.md	f	777	liam:liam	1064	1784121663.9291763000
operating_context/protected_paths.md	f	777	liam:liam	1088	1784121663.9471848000
